web_scraper_order,web_scraper_start_url,data
"1774426831-248","https://musicbrainz.org/genres","breaks"
"1774426831-249","https://musicbrainz.org/genres","breakstep"
"1774426831-250","https://musicbrainz.org/genres","brega"
"1774426831-251","https://musicbrainz.org/genres","brega calypso"
"1774426831-252","https://musicbrainz.org/genres","brega funk"
"1774426831-253","https://musicbrainz.org/genres","briddim"
"1774426831-254","https://musicbrainz.org/genres","brill building"
"1774426831-255","https://musicbrainz.org/genres","brit funk"
"1774426831-256","https://musicbrainz.org/genres","britcore"
"1774426831-257","https://musicbrainz.org/genres","british blues"
"1774426831-258","https://musicbrainz.org/genres","british brass band"
"1774426831-259","https://musicbrainz.org/genres","british folk rock"
"1774426831-260","https://musicbrainz.org/genres","british rhythm & blues"
"1774426831-261","https://musicbrainz.org/genres","britpop"
"1774426831-262","https://musicbrainz.org/genres","bro-country"
"1774426831-263","https://musicbrainz.org/genres","broadband noise"
"1774426831-264","https://musicbrainz.org/genres","broken beat"
"1774426831-265","https://musicbrainz.org/genres","broken transmission"
"1774426831-266","https://musicbrainz.org/genres","brostep"
"1774426831-267","https://musicbrainz.org/genres","brutal death metal"
"1774426831-268","https://musicbrainz.org/genres","brutal prog"
"1774426831-269","https://musicbrainz.org/genres","bubblegum bass"
"1774426831-270","https://musicbrainz.org/genres","bubblegum dance"
"1774426831-271","https://musicbrainz.org/genres","bubblegum pop"
"1774426831-272","https://musicbrainz.org/genres","bubbling"
"1774426831-273","https://musicbrainz.org/genres","bubbling house"
"1774426831-274","https://musicbrainz.org/genres","buchiage trance"
"1774426831-275","https://musicbrainz.org/genres","budots"
"1774426831-276","https://musicbrainz.org/genres","bulería"
"1774426831-277","https://musicbrainz.org/genres","bullerengue"
"1774426831-278","https://musicbrainz.org/genres","burger-highlife"
"1774426831-279","https://musicbrainz.org/genres","burmese classical"
"1774426831-280","https://musicbrainz.org/genres","burmese mono"
"1774426831-281","https://musicbrainz.org/genres","burmese stereo"
"1774426831-282","https://musicbrainz.org/genres","burning spirits"
"1774426831-283","https://musicbrainz.org/genres","burrakatha"
"1774426831-284","https://musicbrainz.org/genres","bytebeat"
"1774426831-285","https://musicbrainz.org/genres","byzantine chant"
"1774426831-286","https://musicbrainz.org/genres","c-pop"
"1774426831-287","https://musicbrainz.org/genres","c86"
"1774426831-288","https://musicbrainz.org/genres","ca trù"
"1774426831-289","https://musicbrainz.org/genres","cabaret"
"1774426831-290","https://musicbrainz.org/genres","cabo zouk"
"1774426831-291","https://musicbrainz.org/genres","cadence lypso"
"1774426831-292","https://musicbrainz.org/genres","cadence rampa"
"1774426831-293","https://musicbrainz.org/genres","cải lương"
"1774426831-294","https://musicbrainz.org/genres","cajun"
"1774426831-295","https://musicbrainz.org/genres","cakewalk"
"1774426831-296","https://musicbrainz.org/genres","čalgija"
"1774426831-297","https://musicbrainz.org/genres","calipso venezolano"
"1774426831-298","https://musicbrainz.org/genres","calypso"
"1774426831-299","https://musicbrainz.org/genres","campursari"
"1774426831-300","https://musicbrainz.org/genres","campus folk"
"1774426831-301","https://musicbrainz.org/genres","canción melódica"
"1774426831-302","https://musicbrainz.org/genres","candombe"
"1774426831-303","https://musicbrainz.org/genres","candombe beat"
"1774426831-304","https://musicbrainz.org/genres","cantata"
"1774426831-305","https://musicbrainz.org/genres","cante alentejano"
"1774426831-306","https://musicbrainz.org/genres","canterbury scene"
"1774426831-307","https://musicbrainz.org/genres","canto a lo poeta"
"1774426831-308","https://musicbrainz.org/genres","canto cardenche"
"1774426831-309","https://musicbrainz.org/genres","canto degli alpini"
"1774426831-310","https://musicbrainz.org/genres","cantonese opera"
"1774426831-311","https://musicbrainz.org/genres","cantopop"
"1774426831-312","https://musicbrainz.org/genres","cantoria"
"1774426831-313","https://musicbrainz.org/genres","cantu a chiterra"
"1774426831-314","https://musicbrainz.org/genres","cantu a tenore"
"1774426831-315","https://musicbrainz.org/genres","canzona"
"1774426831-316","https://musicbrainz.org/genres","canzone d'autore"
"1774426831-317","https://musicbrainz.org/genres","canzone napoletana"
"1774426831-318","https://musicbrainz.org/genres","canzone neomelodica"
"1774426831-319","https://musicbrainz.org/genres","cape breton fiddling"
"1774426831-320","https://musicbrainz.org/genres","cape jazz"
"1774426831-321","https://musicbrainz.org/genres","caporal"
"1774426831-322","https://musicbrainz.org/genres","capriccio"
"1774426831-323","https://musicbrainz.org/genres","carimbó"
"1774426831-324","https://musicbrainz.org/genres","carnatic classical"
"1774426831-325","https://musicbrainz.org/genres","carnavalito"
"1774426831-326","https://musicbrainz.org/genres","carranga"
"1774426831-327","https://musicbrainz.org/genres","celtic"
"1774426831-328","https://musicbrainz.org/genres","celtic chant"
"1774426831-329","https://musicbrainz.org/genres","celtic electronica"
"1774426831-330","https://musicbrainz.org/genres","celtic metal"
"1774426831-331","https://musicbrainz.org/genres","celtic new age"
"1774426831-332","https://musicbrainz.org/genres","celtic punk"
"1774426831-333","https://musicbrainz.org/genres","celtic rock"
"1774426831-334","https://musicbrainz.org/genres","central asian throat singing"
"1774426831-335","https://musicbrainz.org/genres","chacarera"
"1774426831-336","https://musicbrainz.org/genres","chachachá"
"1774426831-337","https://musicbrainz.org/genres","chalga"
"1774426831-338","https://musicbrainz.org/genres","chamamé"
"1774426831-339","https://musicbrainz.org/genres","chamamé tropical"
"1774426831-340","https://musicbrainz.org/genres","chamarrita açoriana"
"1774426831-341","https://musicbrainz.org/genres","chamarrita rioplatense"
"1774426831-342","https://musicbrainz.org/genres","chamber folk"
"1774426831-343","https://musicbrainz.org/genres","chamber pop"
"1774426831-344","https://musicbrainz.org/genres","champeta"
"1774426831-345","https://musicbrainz.org/genres","changa tuki"
"1774426831-346","https://musicbrainz.org/genres","change ringing"
"1774426831-347","https://musicbrainz.org/genres","changjak gugak"
"1774426831-348","https://musicbrainz.org/genres","changüí"
"1774426831-349","https://musicbrainz.org/genres","chanson à texte"
"1774426831-350","https://musicbrainz.org/genres","chanson française"
"1774426831-351","https://musicbrainz.org/genres","chanson québécoise"
"1774426831-352","https://musicbrainz.org/genres","chanson réaliste"
"1774426831-353","https://musicbrainz.org/genres","chaozhou xianshi"
"1774426831-354","https://musicbrainz.org/genres","chap hop"
"1774426831-355","https://musicbrainz.org/genres","character piece"
"1774426831-356","https://musicbrainz.org/genres","charanga"
"1774426831-357","https://musicbrainz.org/genres","chazzanut"
"1774426831-358","https://musicbrainz.org/genres","chèo"
